Algoritmo,Tipo de Vetor,Tamanho do Vetor,Número de Comparações,Tempo Médio (ms)
Bubble Sort,ASC,100,4950,0.0056
Bubble Sort,DESC,100,4950,0.0445
Bubble Sort,RAND,100,4950,0.0283
Bubble Sort,ASC,1000,499500,0.3552
Bubble Sort,DESC,1000,499500,2.3886
Bubble Sort,RAND,1000,499500,1.2815
Bubble Sort,ASC,5000,12497500,5.6184
Bubble Sort,DESC,5000,12497500,57.4379
Bubble Sort,RAND,5000,12497500,30.5492
Bubble Sort,ASC,30000,449985000,197.7463
Bubble Sort,DESC,30000,449985000,2054.7794
Bubble Sort,RAND,30000,449985000,1573.1527
Bubble Sort,ASC,50000,1249975000,548.7821
Bubble Sort,DESC,50000,1249975000,5705.1378
Bubble Sort,RAND,50000,1249975000,4582.2831
Bubble Sort,ASC,100000,4999950000,2200.9946
Bubble Sort,DESC,100000,4999950000,22839.7209
Bubble Sort,RAND,100000,4999950000,19128.6497
Bubble Sort,ASC,150000,11249925000,4952.3893
Bubble Sort,DESC,150000,11249925000,51426.2127
Bubble Sort,RAND,150000,11249925000,43549.3250
Bubble Sort,ASC,200000,19999900000,8808.2477
Bubble Sort,DESC,200000,19999900000,91412.1295
Bubble Sort,RAND,200000,19999900000,77953.4343
Insertion Sort,ASC,100,99,0.0001
Insertion Sort,DESC,100,4950,0.0021
Insertion Sort,RAND,100,2385,0.0015
Insertion Sort,ASC,1000,999,0.0005
Insertion Sort,DESC,1000,499500,0.1490
Insertion Sort,RAND,1000,255126,0.0765
Insertion Sort,ASC,5000,4999,0.0027
Insertion Sort,DESC,5000,12497500,3.6789
Insertion Sort,RAND,5000,6286135,1.7602
Insertion Sort,ASC,30000,29999,0.0152
Insertion Sort,DESC,30000,449985000,121.3022
Insertion Sort,RAND,30000,224033942,60.4280
Insertion Sort,ASC,50000,49999,0.0307
Insertion Sort,DESC,50000,1249975000,336.3274
Insertion Sort,RAND,50000,626814837,169.3262
